"STATION","NAME","DATE","ACMC","AWND","PRCP","TAVG","TSUN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-01",,"17.00","0.01",,"   22","0.2",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-02",,"19.46","0.00",,"  551","0.4",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-03",,"16.33","0.00",,"  541",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-04",,"17.00","0.41",,"   38",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-05",,"10.74","0.00",,"  504",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-06",,"9.62","0.00",,"  140",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-07",,"14.99","0.00",,"  545",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-08",,"13.87","0.00",,"  475",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-09",,"13.20","0.22",,"    0",,"    1",,,,,,,"    1",,,,,"    1",,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-10",,"17.00","0.00",,"    0",,,,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-11",,"23.49","0.06",,"  227",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-12",,"20.58","0.02",,"  110",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-13",,"13.20","0.01",,"  250",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-14",,"10.74","0.00",,"  129",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-15",,"14.54","0.00",,"  332",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-16",,"7.61","0.00",,"    0",,"    1","    1",,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-17",,"15.88","0.48",,"    0",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-18",,"16.78","0.03",,"   92",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-19",,"8.05","0.00",,"  503",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-20",,"10.07","0.27",,"    0",,"    1",,,"    1",,"    1",,,,,,,,"    1","    1","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-21",,"14.09","0.05",,"   55",,"    1",,,,,"    1",,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-22",,"15.66","0.01",,"   84",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-23",,"11.86","0.02",,"  116",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-24",,"18.34","0.00",,"  310",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-25",,"25.05","0.21",,"   20",,"    1",,"    1",,"    1",,,,,,,,"    1",,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-26",,"17.00","0.00",,"   48",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-27",,"20.80","0.00",,"  330",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-28",,"11.41","0.00",,"  498",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-29",,"9.17","0.00",,"  125",,"    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-30",,"12.08","0.00",,"  469",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01-31",,"9.17","0.00",,"  554",,"    1",,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-01",,"12.30","0.27",,"    0",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-02",,"12.75","0.49",,"    0",,"    1",,,"    1",,"    1",,,,,,,,,"    1","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-03",,"7.16","0.01",,"    0",,"    1","    1",,,,"    1",,,,,,,,"    1","    1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-04",,"9.62","0.01",,"    0",,"    1",,,,,"    1",,,,,,,,"    1","    1","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-05",,"17.90","0.00",,"  243",,"    1",,,,,"    1",,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-06",,"10.07","0.00",,"  427",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-07",,"10.29","0.00",,"  131",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-08",,"18.12","0.00",,"  503",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-09",,"14.99","0.06",,"  310",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-10",,"15.43","0.00",,"  610",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-11",,"8.05","0.00",,"  582",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-12",,"11.41","0.00",,"  382",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-13",,"18.79","0.10",,"  217",,"    1",,,,,"    1",,,,,,,,"    1","    1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-14",,"15.43","0.42",,"    0",,"    1",,,"    1",,"    1",,,,,,,,"    1","    1","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-15",,"13.65","0.96",,"    0","1.1","    1",,,"    1",,"    1",,,,,,,,"    1","    1","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-16",,"12.75","0.00",,"   92","1.2","    1","    1",,,,"    1",,,,,,,"    1","    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-17",,"11.41","0.00",,"  566","1.1","    1",,,,,"    1",,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-18",,"13.87","0.00",,"  643","1.1",,,,,,"    1",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-19",,"16.55","0.00",,"  646","1.1",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-20",,"8.28","0.00",,"  649","0.8",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-21",,"10.51","0.00",,"  651","0.7",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-22",,"9.40","2.28",,"    0",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-23",,"12.30","0.20",,"   95","0.8","    1",,,,,,,,,,,,"    1",,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-24",,"17.22","0.22",,"    0","0.2","    1",,,,,,,,"    1",,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-25",,"10.74","0.00",,"  662","0.2",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-26",,"13.20","0.00",,"  410","0.2",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-27",,"14.32","0.00",,"  394",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-28",,"9.40","0.00",,"  653",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-01",,"16.55","0.00",,"  674",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-02",,"16.11","0.00",,"  617",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-03",,"12.75","0.00",,"  411",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-04",,"7.61","0.07",,"  385",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-05",,"12.75","0.19",,"    0","0.2","    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-06",,"14.76","0.00",,"  685","0.2",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-07",,"12.75","0.00",,"  663","0.2",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-08",,"10.51","0.38",,"  185",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-09",,"9.62","0.15",,"    0",,"    1","    1",,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-10",,"6.49","0.09",,"    0",,"    1","    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-11",,"4.92","0.07",,"    0",,"    1","    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-12",,"18.57","0.00",,"  545",,"    1",,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-13",,"12.30","0.00",,"  232",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-14",,"12.08","0.00",,"  491",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-15",,"15.66","0.01",,"  436",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-16",,"11.86","0.24",,"  130",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-17",,"21.25","0.00",,"  159",,,,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-18",,"17.45","0.13",,"  158",,,,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-19",,"11.63","0.12",,"  130",,"    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-20",,"10.07","0.00",,"  706",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-21",,"10.96","0.00",,"  265",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-22",,"15.88","0.19",,"    0",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-23",,"16.33","0.00",,"  220",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-24",,"10.07","0.00",,"  650",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-25",,"15.88","0.00",,"  742",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-26",,"12.30","0.00",,"  515",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-27",,"8.28","0.00",,"  748",,,,,,,,,,,,,,,,,,,,,,,
